"voting_id","voting_body_key","voting_external_id","voting_date","voting_external_alternative_id","voting_affair_external_id","voting_affair_number","voting_title_de","voting_title_fr","voting_title_it","voting_url_de","voting_url_fr","voting_url_it","voting_type_de","voting_type_fr","voting_type_it","voting_meaning_of_yes_de","voting_meaning_of_yes_fr","voting_meaning_of_yes_it","voting_meaning_of_no_de","voting_meaning_of_no_fr","voting_meaning_of_no_it","voting_results_yes","voting_results_no","voting_results_abstention","voting_results_absent","voting_results_string","voting_affair_title_de","voting_affair_title_fr","voting_affair_title_it","voting_decision","voting_meeting_parent_type","voting_meeting_parent_external_id","voting_council_external_id","voting_updated_local","voting_updated_external","voting_created_local"
142202,"GE","030210_AN-IN00198B-1","2025-02-13 23:05:00",NULL,"IN 198","IN 198",NULL,"IN 198-B, vote nominal : prise en considération",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030210/AN-IN00198B-1.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,55,1,NULL,NULL,NULL,"Initiative populaire cantonale 198 « Pour une contraception gratuite »",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:51.298112"
142730,"GE","030210_AN-PL13583","2025-02-13 22:46:00",NULL,NULL,"PL 13583",NULL,"PL 13583, vote nominal : 3e débat",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030210/AN-PL13583.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58,30,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:52.393472"
142493,"GE","030210_AN-PL12541A","2025-02-13 19:15:00",NULL,"PL 12541","PL 12541",NULL,"PL 12541-A, vote nominal : 1er débat",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030210/AN-PL12541A.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,51,0,NULL,NULL,NULL,"Modifiant la loi sur l'Aéroport international de Genève (LAIG) (H 3 25)",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:52.050752"
142383,"GE","030210_AN-M02993A","2025-02-13 18:41:00",NULL,"M 2993","M 2993",NULL,"M 2993-A, vote nominal : prise en considération",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030210/AN-M02993A.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,79,0,NULL,NULL,NULL,"Désaffectation d'abris PC ne répondant plus aux normes ou entravant la rénovation durable et énergétique des habitations",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:51.621211"
142380,"GE","030210_AN-M02974A","2025-02-13 18:26:00",NULL,"M 2974","M 2974",NULL,"M 2974-A, vote nominal : prise en considération",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030210/AN-M02974A.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,63,0,NULL,NULL,NULL,"Une justice plus équitable et accessible",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:51.621211"
142389,"GE","030210_AN-M03004A","2025-02-13 18:01:00",NULL,"M 3004","M 3004",NULL,"M 3004-A, vote nominal : prise en considération",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030210/AN-M03004A.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32,64,0,NULL,NULL,NULL,"Un renforcement des droits démocratiques des Suisses de l'étranger",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:51.621211"
142346,"GE","030209_AN-M02886A","2025-01-24 19:56:00",NULL,"M 2886","M 2886",NULL,"M 2886-A, vote nominal : prise en considération",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030209/AN-M02886A.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,53,1,NULL,NULL,NULL,"En prison pour une amende impayée ? D'autres mesures doivent être déployées",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:51.621211"
142384,"GE","030209_AN-M02994A","2025-01-24 19:21:00",NULL,"M 2994","M 2994",NULL,"M 2994-A, vote nominal : prise en considération",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030209/AN-M02994A.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72,4,0,NULL,NULL,NULL,"Brisez le silence : luttons contre la hausse des pensées suicidaires chez les jeunes et notamment chez les jeunes femmes",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:51.621211"
142362,"GE","030209_AN-M02921B","2025-01-24 19:06:00",NULL,"M 2921","M 2921",NULL,"M 2921-B, vote nominal : prise en considération",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030209/AN-M02921B.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54,28,4,NULL,NULL,NULL,"Une meilleure promotion de l'offre culturelle et sportive genevoise (création d'un PASS CULTURE et SPORT cantonal)",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:51.621211"
142388,"GE","030209_AN-M03003A","2025-01-24 18:16:00",NULL,"M 3003","M 3003",NULL,"M 3003-A, vote nominal : prise en considération",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030209/AN-M03003A.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49,12,5,NULL,NULL,NULL,"Une qualité de l'air protégeant la santé dans les lieux d'apprentissage",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:51.621211"
